sentiment,lang,sentence
positive,de,Der STOXX 600 Index zeigte Widerstandsfähigkeit trotz Handelskonflikten und spiegelt die Stärke europäischer Unternehmen wider.
positive,es,La Comisión Europea lanzó una consulta para promover la cooperación industrial en la adquisición y reciclaje de materias primas críticas.
positive,fr,La Commission européenne a lancé une consultation pour promouvoir la coopération industrielle dans l'acquisition et le recyclage de matières premières critiques.
positive,de,"Die Europäische Kommission hat eine Konsultation gestartet, um die industrielle Zusammenarbeit bei der Beschaffung und dem Recycling kritischer Rohstoffe zu fördern."
positive,es,"La confianza del consumidor en la eurozona mejoró en marzo de 2025, indicando una perspectiva más optimista de los hogares."
positive,fr,"La confiance des consommateurs dans la zone euro s'est améliorée en mars 2025, indiquant une perspective plus optimiste des ménages."
positive,de,Das Verbrauchervertrauen in der Eurozone verbesserte sich im März 2025 und deutet auf eine optimistischere Sicht der Haushalte hin.
negative,es,Las acciones europeas cayeron a un mínimo de 16 meses debido a los temores de una guerra comercial global.
negative,fr,Les actions européennes ont chuté à un plus bas de 16 mois en raison des craintes d'une guerre commerciale mondiale.
negative,de,Europäische Aktien fielen auf ein 16-Monats-Tief aufgrund von Befürchtungen eines globalen Handelskriegs.
negative,es,"El índice bancario europeo cayó un 4,8%, entrando en territorio bajista por temor a una recesión inducida por aranceles."
negative,fr,"L'indice bancaire européen a chuté de 4,8%, entrant en territoire baissier par crainte d'une récession induite par les tarifs."
negative,de,"Der europäische Bankenindex fiel um 4,8% und geriet aufgrund von Rezessionsängsten durch Zölle in einen Bärenmarkt."
negative,es,"El crecimiento del PIB de la eurozona se proyecta en un 0,9% para 2025, reflejando una desaceleración económica."
negative,fr,"La croissance du PIB de la zone euro est projetée à 0,9% pour 2025, reflétant un ralentissement économique."
negative,de,"Das BIP-Wachstum der Eurozone wird für 2025 auf 0,9% prognostiziert, was eine wirtschaftliche Verlangsamung widerspiegelt."
negative,es,"El índice STOXX 600 cayó un 5,8%, continuando su racha de pérdidas debido a las tensiones comerciales."
negative,fr,"L'indice STOXX 600 a chuté de 5,8%, poursuivant sa série de pertes en raison des tensions commerciales."
negative,de,"Der STOXX 600 Index fiel um 5,8% und setzte seine Verlustserie aufgrund der Handelskonflikte fort."
negative,es,"El rendimiento de los bonos alemanes a 10 años cayó al 0,25% en medio de la incertidumbre del mercado."
negative,fr,"Le rendement des obligations allemandes à 10 ans est tombé à 0,25% en raison de l'incertitude du marché."
negative,de,"Die Rendite der 10-jährigen deutschen Anleihen fiel auf 0,25% aufgrund der Marktunsicherheit."
negative,es,La confianza del inversor en la eurozona cayó a su nivel más bajo en más de un año debido a los aranceles de EE.UU.
negative,fr,La confiance des investisseurs dans la zone euro est tombée à son niveau le plus bas depuis plus d'un an en raison des tarifs américains.
negative,de,Das Investorenvertrauen in der Eurozone fiel auf den niedrigsten Stand seit über einem Jahr aufgrund der US-Zölle.
negative,es,Las acciones de defensa europeas registraron su mayor caída diaria desde abril de 2020 debido a preocupaciones sobre una recesión global.
negative,fr,Les actions de la défense européenne ont enregistré leur plus forte baisse quotidienne depuis avril 2020 en raison des craintes d'une récession mondiale.
negative,de,Europäische Verteidigungsaktien verzeichneten ihren größten Tagesrückgang seit April 2020 aufgrund von Befürchtungen einer globalen Rezession.
negative,es,"El índice de volatilidad de la eurozona alcanzó su nivel más alto desde agosto, reflejando la creciente incertidumbre del mercado."
negative,fr,"L'indice de volatilité de la zone euro a atteint son niveau le plus élevé depuis août, reflétant l'incertitude croissante du marché."
negative,de,"Der Volatilitätsindex der Eurozone erreichte den höchsten Stand seit August, was die zunehmende Marktunsicherheit widerspiegelt."
negative,es,Las acciones europeas confirmaron una corrección después de caer más del 10% desde su máximo histórico debido a las preocupaciones arancelarias.
negative,fr,Les actions européennes ont confirmé une correction après avoir chuté de plus de 10% depuis leur record historique en raison des préoccupations tarifaires.
negative,de,"Europäische Aktien bestätigten eine Korrektur, nachdem sie aufgrund von Zollbedenken um mehr als 10% von ihrem Allzeithoch gefallen waren."
negative,es,Los bancos europeos extendieron sus pérdidas en medio de una venta masiva provocada por los aranceles de EE.UU.
negative,fr,Les banques européennes ont prolongé leurs pertes au milieu d'une vente massive provoquée par les tarifs américains.
negative,de,Europäische Banken verlängerten ihre Verluste inmitten eines durch US-Zölle ausgelösten Ausverkaufs.
negative,es,"El índice de confianza económica de la eurozona cayó a -19,5 en abril, su nivel más bajo desde octubre de 2023."
negative,fr,"L'indice de confiance économique de la zone euro est tombé à -19,5 en avril, son niveau le plus bas depuis octobre 2023."
